date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2011-12-16,sh.000986,2811.6200,2884.8100,2797.9700,2883.4800,2812.7800,285619100,3434270000.0000,3,0.000963,1,2.513526,1
2011-12-19,sh.000986,2857.2000,2872.5300,2781.9700,2865.9000,2883.4800,281787800,3314050000.0000,3,0.000950,1,-0.609683,1
2011-12-20,sh.000986,2851.2100,2901.5700,2846.7800,2863.7600,2865.9000,244284300,2929080000.0000,3,0.000824,1,-0.074667,1
2011-12-21,sh.000986,2895.3500,2906.2900,2813.2200,2815.1400,2863.7600,221652500,2757160000.0000,3,0.000747,1,-1.697772,1
2011-12-22,sh.000986,2784.8900,2854.3900,2747.7500,2825.9500,2815.1400,303407300,3526860000.0000,3,0.001023,1,0.383997,1
2011-12-23,sh.000986,2814.6500,2881.7400,2811.1300,2852.7100,2825.9500,281932400,3425560000.0000,3,0.000950,1,0.946939,1
2011-12-26,sh.000986,2834.5100,2873.4000,2821.9200,2825.3400,2852.7100,182578100,2137430000.0000,3,0.000616,1,-0.959434,1
2011-12-27,sh.000986,2823.2400,2840.4400,2785.2600,2791.2200,2825.3400,190063000,2242080000.0000,3,0.000641,1,-1.207646,1
2011-12-28,sh.000986,2776.9100,2809.4800,2745.7600,2807.7300,2791.2200,260886300,2879190000.0000,3,0.000880,1,0.591498,1
2011-12-29,sh.000986,2794.3300,2825.6400,2786.9400,2816.2800,2807.7300,222787800,2579130000.0000,3,0.000751,1,0.304518,1
2011-12-30,sh.000986,2826.1200,2861.0900,2826.1200,2856.6000,2816.2800,239496500,2889720000.0000,3,0.000807,1,1.431678,1
2012-01-04,sh.000986,2889.5100,2904.5100,2798.5700,2798.9600,2856.6000,324681000,3820830000.0000,3,0.001095,1,-2.017788,0
2012-01-05,sh.000986,2781.8400,2820.5500,2754.8200,2756.1900,2798.9600,303804900,3328060000.0000,3,0.001025,1,-1.528068,0
2012-01-06,sh.000986,2758.0500,2787.8200,2731.4700,2785.6600,2756.1900,289027200,3216580000.0000,3,0.000975,1,1.069229,0
2012-01-09,sh.000986,2787.4300,2966.8300,2763.9500,2966.4800,2785.6600,624640600,7974880000.0000,3,0.002107,1,6.491104,0
2012-01-10,sh.000986,2971.9400,3111.3800,2963.2800,3091.9900,2966.4800,866332600,11638460000.0000,3,0.002922,1,4.230941,0
2012-01-11,sh.000986,3093.4800,3131.5000,3057.3500,3080.0600,3091.9900,709034400,9813740000.0000,3,0.002391,1,-0.385833,0
2012-01-12,sh.000986,3059.9500,3100.1800,3047.5900,3062.9200,3080.0600,545482800,7057540000.0000,3,0.001840,1,-0.556487,0
2012-01-13,sh.000986,3068.3700,3082.0700,2985.1600,3021.8600,3062.9200,593775800,7999220000.0000,3,0.002003,1,-1.340545,0
2012-01-16,sh.000986,2997.3300,3070.7100,2961.3700,2961.3700,3021.8600,494604700,6548230000.0000,3,0.001668,1,-2.001747,0
2012-01-17,sh.000986,2965.7300,3153.9500,2949.1000,3153.9500,2961.3700,822322300,10969500000.0000,3,0.002773,1,6.503066,0
2012-01-18,sh.000986,3152.9800,3166.5400,3064.0800,3078.7200,3153.9500,667022600,9192990000.0000,3,0.002250,1,-2.385262,0
2012-01-19,sh.000986,3079.8300,3135.7200,3063.9300,3119.8800,3078.7200,514599700,6990510000.0000,3,0.001736,1,1.336916,0
2012-01-20,sh.000986,3130.1300,3143.7700,3100.5600,3127.9400,3119.8800,425236800,5724750000.0000,3,0.001434,1,0.258345,0
2012-01-30,sh.000986,3139.5900,3140.9400,3077.7000,3079.0600,3127.9400,377254300,4874040000.0000,3,0.001272,1,-1.562686,0
2012-01-31,sh.000986,3077.5600,3103.7700,3051.6600,3092.5900,3079.0600,302808100,4301910000.0000,3,0.001021,1,0.439421,0
2012-02-01,sh.000986,3081.3600,3116.3400,3032.1500,3040.8800,3092.5900,324632300,4354630000.0000,3,0.001095,1,-1.672068,0
2012-02-02,sh.000986,3050.6600,3120.6600,3039.7400,3111.9900,3040.8800,489102800,6682700000.0000,3,0.001650,1,2.338471,0
2012-02-03,sh.000986,3096.1400,3128.9200,3076.0400,3123.2300,3111.9900,451390000,5825630000.0000,3,0.001522,1,0.361183,0
2012-02-06,sh.000986,3140.2300,3170.6300,3112.3000,3136.2200,3123.2300,519503000,6924980000.0000,3,0.001752,1,0.415915,0
2012-02-07,sh.000986,3112.9700,3112.9700,3053.7500,3083.1400,3136.2200,423093300,5493210000.0000,3,0.001427,1,-1.692486,0
2012-02-08,sh.000986,3086.9800,3216.7400,3078.3400,3193.5100,3083.1400,754101400,10227590000.0000,3,0.002543,1,3.579796,0
2012-02-09,sh.000986,3190.5000,3221.1000,3173.5500,3190.5400,3193.5100,678774400,9191720000.0000,3,0.002289,1,-0.093000,0
2012-02-10,sh.000986,3182.2900,3209.9100,3167.6900,3187.8400,3190.5400,499867800,6504860000.0000,3,0.001686,1,-0.084624,0
2012-02-13,sh.000986,3157.5100,3216.8100,3146.7600,3191.4600,3187.8400,484418300,6505780000.0000,3,0.001634,1,0.113553,0
2012-02-14,sh.000986,3191.4000,3206.4000,3168.2500,3195.2300,3191.4600,505247800,6455970000.0000,3,0.001704,1,0.118128,0
2012-02-15,sh.000986,3187.9100,3249.8000,3171.7000,3225.4300,3195.2300,594010000,8098460000.0000,3,0.002003,1,0.945157,0
2012-02-16,sh.000986,3218.4200,3231.9700,3170.3500,3193.9900,3225.4300,499327000,6682700000.0000,3,0.001684,1,-0.974752,0
2012-02-17,sh.000986,3211.2200,3221.6600,3164.8000,3177.0200,3193.9900,336220400,4578060000.0000,3,0.001134,1,-0.531309,0
2012-02-20,sh.000986,3224.9100,3239.3000,3189.1500,3190.1900,3177.0200,509550200,7045160000.0000,3,0.001719,1,0.414537,0
2012-02-21,sh.000986,3193.9200,3222.3800,3161.1400,3222.0800,3190.1900,503418800,6729500000.0000,3,0.001698,1,0.999631,0
2012-02-22,sh.000986,3223.7800,3261.1100,3210.5900,3259.8000,3222.0800,625519600,8811980000.0000,3,0.002110,1,1.170671,0
2012-02-23,sh.000986,3256.3700,3300.9100,3247.8700,3293.8900,3259.8000,768692100,10477120000.0000,3,0.002593,1,1.045765,0
